theory,lemma,run,threads,heap_gb,timeout_s,exit_code,outcome,steps,wall_s_monotonic,maxrss_kb,timed_out,search,log
ibcv2_transport_nat.spthy,P1_AuthenticDelivery,1,1,8,7200,0,verified,8,4.685208,110788,False,default,ibcv2_transport_nat__P1_AuthenticDelivery__run1__N1.log
ibcv2_transport_nat.spthy,P2_ExactlyOnceReceipt,1,1,8,7200,0,verified,544,37.744639,467760,False,default,ibcv2_transport_nat__P2_ExactlyOnceReceipt__run1__N1.log
ibcv2_transport_nat.spthy,P3_AckCorrespondence,1,1,8,7200,0,verified,5,3.526923,108376,False,default,ibcv2_transport_nat__P3_AckCorrespondence__run1__N1.log
ibcv2_transport_nat.spthy,ReceiptBeforeHeight,1,1,8,7200,0,verified,3,2.524311,39996,False,default,ibcv2_transport_nat__ReceiptBeforeHeight__run1__N1.log
ibcv2_transport_nat.spthy,WitnessBeforeReceiptHeight,1,1,8,7200,0,verified,3,2.423162,39928,False,default,ibcv2_transport_nat__WitnessBeforeReceiptHeight__run1__N1.log
ibcv2_transport_nat.spthy,P4_TimeoutSafety,1,1,8,7200,0,verified,25,3.728482,103216,False,default,ibcv2_transport_nat__P4_TimeoutSafety__run1__N1.log
ibcv2_transport_nat.spthy,P5_ClientPortBinding,1,1,8,7200,0,verified,2,2.473559,41456,False,default,ibcv2_transport_nat__P5_ClientPortBinding__run1__N1.log
ibcv2_ics20_projection.spthy,P6_MintImpliesLock,1,1,8,7200,0,verified,4,3.676717,58744,False,default,ibcv2_ics20_projection__P6_MintImpliesLock__run1__N1.log
ibcv2_ics20_projection.spthy,P6_RefundImpliesLock,1,1,8,7200,0,verified,4,3.728445,56940,False,default,ibcv2_ics20_projection__P6_RefundImpliesLock__run1__N1.log
ibcv2_ics20_projection.spthy,P6_NoDoubleMint,1,1,8,7200,0,verified,16,3.979518,59464,False,default,ibcv2_ics20_projection__P6_NoDoubleMint__run1__N1.log
ibcv2_ics20_projection.spthy,P6_NoMintAndRefund,1,1,8,7200,0,verified,7,3.779841,61252,False,default,ibcv2_ics20_projection__P6_NoMintAndRefund__run1__N1.log
ibcv2_transport_nat.spthy,P1_AuthenticDelivery,2,1,8,7200,0,verified,8,3.175529,107260,False,default,ibcv2_transport_nat__P1_AuthenticDelivery__run2__N1.log
ibcv2_transport_nat.spthy,P2_ExactlyOnceReceipt,2,1,8,7200,0,verified,544,34.674817,464640,False,default,ibcv2_transport_nat__P2_ExactlyOnceReceipt__run2__N1.log
ibcv2_transport_nat.spthy,P3_AckCorrespondence,2,1,8,7200,0,verified,5,3.27558,115548,False,default,ibcv2_transport_nat__P3_AckCorrespondence__run2__N1.log
ibcv2_transport_nat.spthy,ReceiptBeforeHeight,2,1,8,7200,0,verified,3,2.172336,39944,False,default,ibcv2_transport_nat__ReceiptBeforeHeight__run2__N1.log
ibcv2_transport_nat.spthy,WitnessBeforeReceiptHeight,2,1,8,7200,0,verified,3,2.270995,39924,False,default,ibcv2_transport_nat__WitnessBeforeReceiptHeight__run2__N1.log
ibcv2_transport_nat.spthy,P4_TimeoutSafety,2,1,8,7200,0,verified,25,3.62592,110100,False,default,ibcv2_transport_nat__P4_TimeoutSafety__run2__N1.log
ibcv2_transport_nat.spthy,P5_ClientPortBinding,2,1,8,7200,0,verified,2,2.375127,41968,False,default,ibcv2_transport_nat__P5_ClientPortBinding__run2__N1.log
ibcv2_ics20_projection.spthy,P6_MintImpliesLock,2,1,8,7200,0,verified,4,3.678381,59368,False,default,ibcv2_ics20_projection__P6_MintImpliesLock__run2__N1.log
ibcv2_ics20_projection.spthy,P6_RefundImpliesLock,2,1,8,7200,0,verified,4,3.57697,63384,False,default,ibcv2_ics20_projection__P6_RefundImpliesLock__run2__N1.log
ibcv2_ics20_projection.spthy,P6_NoDoubleMint,2,1,8,7200,0,verified,16,3.97804,58464,False,default,ibcv2_ics20_projection__P6_NoDoubleMint__run2__N1.log
ibcv2_ics20_projection.spthy,P6_NoMintAndRefund,2,1,8,7200,0,verified,7,3.72739,59980,False,default,ibcv2_ics20_projection__P6_NoMintAndRefund__run2__N1.log
ibcv2_transport_nat.spthy,P1_AuthenticDelivery,3,1,8,7200,0,verified,8,3.126266,111656,False,default,ibcv2_transport_nat__P1_AuthenticDelivery__run3__N1.log
ibcv2_transport_nat.spthy,P2_ExactlyOnceReceipt,3,1,8,7200,0,verified,544,33.624537,470864,False,default,ibcv2_transport_nat__P2_ExactlyOnceReceipt__run3__N1.log
ibcv2_transport_nat.spthy,P3_AckCorrespondence,3,1,8,7200,0,verified,5,3.376019,106284,False,default,ibcv2_transport_nat__P3_AckCorrespondence__run3__N1.log
ibcv2_transport_nat.spthy,ReceiptBeforeHeight,3,1,8,7200,0,verified,3,2.422752,41400,False,default,ibcv2_transport_nat__ReceiptBeforeHeight__run3__N1.log
ibcv2_transport_nat.spthy,WitnessBeforeReceiptHeight,3,1,8,7200,0,verified,3,2.221934,40840,False,default,ibcv2_transport_nat__WitnessBeforeReceiptHeight__run3__N1.log
ibcv2_transport_nat.spthy,P4_TimeoutSafety,3,1,8,7200,0,verified,25,3.828408,103228,False,default,ibcv2_transport_nat__P4_TimeoutSafety__run3__N1.log
ibcv2_transport_nat.spthy,P5_ClientPortBinding,3,1,8,7200,0,verified,2,2.422983,41572,False,default,ibcv2_transport_nat__P5_ClientPortBinding__run3__N1.log
ibcv2_ics20_projection.spthy,P6_MintImpliesLock,3,1,8,7200,0,verified,4,3.777418,58732,False,default,ibcv2_ics20_projection__P6_MintImpliesLock__run3__N1.log
ibcv2_ics20_projection.spthy,P6_RefundImpliesLock,3,1,8,7200,0,verified,4,3.979869,56892,False,default,ibcv2_ics20_projection__P6_RefundImpliesLock__run3__N1.log
ibcv2_ics20_projection.spthy,P6_NoDoubleMint,3,1,8,7200,0,verified,16,3.826831,59560,False,default,ibcv2_ics20_projection__P6_NoDoubleMint__run3__N1.log
ibcv2_ics20_projection.spthy,P6_NoMintAndRefund,3,1,8,7200,0,verified,7,3.827185,63168,False,default,ibcv2_ics20_projection__P6_NoMintAndRefund__run3__N1.log
